BITSSP0302	国内涉外担保来单拒付/退单/撤销登记复核
BITSAP0201	协议付款修改登记
BITSDC0204	国内信用证修改/修改确认经办
BITSTF0101	进口汇出汇款融资放款登记
BITSDC0102	国内证开立登记复核
BITSRD0307	国内证卖方风险参与闭卷审批2
BITSFS0309	进口代付还款提交记账
BITSIC0408	进口代收修改审批3
BITSBF0102	进口押汇放款登记复核
BITSSY0102	国内证卖方押汇放款登记复核
BITSIP0302	出口发票融资还款登记复核
BITSGP0205	国际对外担保/备用证来单修改复核
BITSIP0107	出口发票融资放款审批2
BITSBP0410	出口退汇取消记账
BITSCP0310	出口保兑释放取消记账
BITSDC0302	国内信用证撤证/闭卷登记复核
BITSLT0108	转让证开立审批3
BITSGF0301	进口代收融资还款登记
BITSXT0102	国内证通知录入登记复核
BITSDF0101	国内证代付放款登记
BITSIF0707	进口保理间接付款/反转让审批2
BITSCM0230	贸服工作流人工分配和异常处理
BITSIC0602	进口代收退单/转出/无偿放单/撤销登记复核
BITSCM0222	会计流水表查询
BITSTF0308	进口汇出汇款融资还款审批3
BITSFA0310	其他贸易融资（非出资）闭卷取消记账
BITSLG0110	国际对外担保/备用证开立取消记账
BITSGF0308	进口代收融资还款审批3
BITSNF0305	无追索权出口保理应收账款买断还款复核
BITSIF1201	进口保理客户应付账款月报告查询
BITSFQ0104	国内证卖方福费廷转卖录入经办
BITSJD0405	国内证委托收款退款复核
BITSHS0123	进口保理业务发票查询（历史库）
BITSSG0307	国内涉外担保撤销/闭卷审批2
BITSFT0304	国内证卖方福费廷买断还款经办
BITSLP0404	来单修改经办
BITSJD0604	国内证委托收款催收经办
BITSAF0106	协议融资录入审批1
BITSCM0310	通用额度档案查询
BITSFB0110	其他贸易融资（出资）放款取消记账
BITSEF0604	出口保理收汇经办
BITSLA0404	信用证通知闭卷/撤销经办
BITSYF0106	国内证议付放款审批1
BITSBF0210	进口押汇展期取消记账
BITSBP0510	出口议付退单放单闭卷取消记账
BITSFB0205	其他贸易融资（出资）宽限复核
BITSEF0306	出口保理额度确认审批1
BITSPF0101	出口保理预付融资录入登记
BITSCP0104	出口保兑录入经办
BITSSG0101	国内涉外担保开立登记
BITSDC0110	国内证开立取消记账
BITSCM0407	公共电文录入复核
BITSJD0406	国内证委托收款退款审批1
BITSDP0101	国内证代理付款放款登记
BITSDC0308	国内信用证撤证/闭卷审批3
BITSPO0202	出口订单融资展期登记复核
BITSYF0105	国内证议付放款复核
BITSLP0210	来单付款取消记账
BITSLP0403	来单修改登记补录
BITSJP0106	进口代理付款放款审批1
BITSIF0304	进口保理额度预/正式/调整申请回复经办
BITSCP0102	出口保兑录入登记复核
BITSJD0502	国内证委托收款退单放单闭卷登记复核
BITSFS0107	进口代付放款审批2
BITSHS0122	进口保理额度查询（历史库）
